id_municipio,rede,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,taxa_observada_2023,taxa_observada_2024,participacao_2023,participacao_2024,possui_historico_2023,ganho_observado_2023_2024_pp,gap_atual_meta_2025_pp,ganho_anual_requerido_2025_pp,cenario_tendencia_bruto_2025,cenario_tendencia_2025,deficit_trajetoria_2025_pp,gap_cenario_limitado_2025_pp,flag_risco_nao_atingir_2025,gap_atual_meta_2026_pp,ganho_anual_requerido_2026_pp,cenario_tendencia_bruto_2026,cenario_tendencia_2026,deficit_trajetoria_2026_pp,gap_cenario_limitado_2026_pp,flag_risco_nao_atingir_2026,gap_atual_meta_2027_pp,ganho_anual_requerido_2027_pp,cenario_tendencia_bruto_2027,cenario_tendencia_2027,deficit_trajetoria_2027_pp,gap_cenario_limitado_2027_pp,flag_risco_nao_atingir_2027,gap_atual_meta_2028_pp,ganho_anual_requerido_2028_pp,cenario_tendencia_bruto_2028,cenario_tendencia_2028,deficit_trajetoria_2028_pp,gap_cenario_limitado_2028_pp,flag_risco_nao_atingir_2028,gap_atual_meta_2029_pp,ganho_anual_requerido_2029_pp,cenario_tendencia_bruto_2029,cenario_tendencia_2029,deficit_trajetoria_2029_pp,gap_cenario_limitado_2029_pp,flag_risco_nao_atingir_2029,gap_atual_meta_2030_pp,ganho_anual_requerido_2030_pp,cenario_tendencia_bruto_2030,cenario_tendencia_2030,deficit_trajetoria_2030_pp,gap_cenario_limitado_2030_pp,flag_risco_nao_atingir_2030,meta_2025_ja_atingida_em_2024,status_meta_2025,rank_risco_meta_2025,rank_gap_atual_2025,municipio,sigla_uf,regiao,cluster_id,cluster_nome
4301750,Municipal,14.05,23.65,37.0,52.68,67.85,80,,4.4,,92.59,False,,9.65,9.65,,,,,,19.25,9.625,,,,,,32.6,10.866666666666667,,,,,,48.28,12.07,,,,,,63.449999999999996,12.69,,,,,,75.6,12.6,,,,,,False,SEM_HISTORICO_2023,,1544,Barão do Triunfo,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional
1503754,Municipal,33.52,43.28,53.59,63.6,72.55,80,,24.95,,81.3,False,,8.570000000000004,8.570000000000004,,,,,,18.330000000000002,9.165000000000001,,,,,,28.640000000000004,9.546666666666669,,,,,,38.650000000000006,9.662500000000001,,,,,,47.599999999999994,9.52,,,,,,55.05,9.174999999999999,,,,,,False,SEM_HISTORICO_2023,,1693,Jacareacanga,PA,Norte,0,Urbano-industrial de maior escala
2928307,Municipal,31.5,41.48,52.21,62.74,72.19,80,,22.95,,82.43,False,,8.55,8.55,,,,,,18.529999999999998,9.264999999999999,,,,,,29.26,9.753333333333334,,,,,,39.790000000000006,9.947500000000002,,,,,,49.239999999999995,9.847999999999999,,,,,,57.05,9.508333333333333,,,,,,False,SEM_HISTORICO_2023,,1698,Santanópolis,BA,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica"
1200328,Municipal,28.13,38.39,49.79,61.22,71.53,80,,19.59,,93.88,False,,8.54,8.54,,,,,,18.8,9.4,,,,,,30.2,10.066666666666666,,,,,,41.629999999999995,10.407499999999999,,,,,,51.94,10.388,,,,,,60.41,10.068333333333333,,,,,,False,SEM_HISTORICO_2023,,1700,Jordão,AC,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
1200138,Municipal,35.2,44.74,54.69,64.28,72.85,80,,26.69,,79.67,False,,8.510000000000002,8.510000000000002,,,,,,18.05,9.025,,,,,,27.999999999999996,9.333333333333332,,,,,,37.59,9.3975,,,,,,46.16,9.232,,,,,,53.31,8.885,,,,,,False,SEM_HISTORICO_2023,,1706,Bujari,AC,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
1300839,Municipal,30.23,40.33,51.32,62.18,71.95,80,,21.72,,89.87,False,,8.510000000000002,8.510000000000002,,,,,,18.61,9.305,,,,,,29.6,9.866666666666667,,,,,,40.46,10.115,,,,,,50.230000000000004,10.046000000000001,,,,,,58.28,9.713333333333333,,,,,,False,SEM_HISTORICO_2023,,1706,Caapiranga,AM,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
2408607,Municipal,36.07,45.49,55.26,64.63,73.0,80,,27.59,,89.74,False,,8.48,8.48,,,,,,17.900000000000002,8.950000000000001,,,,,,27.669999999999998,9.223333333333333,,,,,,37.03999999999999,9.259999999999998,,,,,,45.41,9.081999999999999,,,,,,52.41,8.735,,,,,,False,SEM_HISTORICO_2023,,1711,Paraná,RN,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica"
1301506,Municipal,27.7,37.99,49.47,61.02,71.45,80,,19.3,,74.59,False,,8.399999999999999,8.399999999999999,,,,,,18.69,9.345,,,,,,30.169999999999998,10.056666666666667,,,,,,41.72,10.43,,,,,,52.150000000000006,10.430000000000001,,,,,,60.7,10.116666666666667,,,,,,False,SEM_HISTORICO_2023,,1718,Envira,AM,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
2412559,Municipal,38.85,47.86,57.01,65.71,73.46,80,,30.54,,75.0,False,,8.310000000000002,8.310000000000002,,,,,,17.32,8.66,,,,,,26.47,8.823333333333332,,,,,,35.169999999999995,8.792499999999999,,,,,,42.919999999999995,8.584,,,,,,49.46,8.243333333333334,,,,,,False,SEM_HISTORICO_2023,,1726,São Miguel do Gostoso,RN,Nordeste,0,Urbano-industrial de maior escala
1507300,Municipal,39.2,48.15,57.23,65.84,73.52,80,,30.95,,75.37,False,,8.250000000000004,8.250000000000004,,,,,,17.2,8.6,,,,,,26.279999999999998,8.76,,,,,,34.89,8.7225,,,,,,42.56999999999999,8.514,,,,,,49.05,8.174999999999999,,,,,,False,SEM_HISTORICO_2023,,1734,São Félix do Xingu,PA,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
2402600,Municipal,40.56,49.29,58.06,66.35,73.74,80,,32.38,,74.64,False,,8.18,8.18,,,,,,16.909999999999997,8.454999999999998,,,,,,25.68,8.56,,,,,,33.96999999999999,8.492499999999998,,,,,,41.35999999999999,8.271999999999998,,,,,,47.62,7.9366666666666665,,,,,,False,SEM_HISTORICO_2023,,1746,Ceará-Mirim,RN,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica"
2910503,Municipal,40.71,49.41,58.15,66.4,73.77,80,,32.55,,88.85,False,,8.160000000000004,8.160000000000004,,,,,,16.86,8.43,,,,,,25.6,8.533333333333333,,,,,,33.85000000000001,8.462500000000002,,,,,,41.22,8.244,,,,,,47.45,7.908333333333334,,,,,,False,SEM_HISTORICO_2023,,1750,Entre Rios,BA,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica"
2406155,Municipal,41.43,50.01,58.58,66.67,73.88,80,,33.33,,78.95,False,,8.100000000000001,8.100000000000001,,,,,,16.68,8.34,,,,,,25.25,8.416666666666666,,,,,,33.34,8.335,,,,,,40.55,8.11,,,,,,46.67,7.778333333333333,,,,,,False,SEM_HISTORICO_2023,,1756,Jundiá,RN,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica"
4300307,Municipal,41.39,49.98,58.56,66.66,73.88,80,,33.3,,92.31,False,,8.090000000000003,8.090000000000003,,,,,,16.68,8.34,,,,,,25.260000000000005,8.420000000000002,,,,,,33.36,8.34,,,,,,40.58,8.116,,,,,,46.7,7.783333333333334,,,,,,False,SEM_HISTORICO_2023,,1760,Alecrim,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional
1502400,Municipal,41.06,49.7,58.36,66.53,73.82,80,,32.97,,77.17,False,,8.090000000000003,8.090000000000003,,,,,,16.730000000000004,8.365000000000002,,,,,,25.39,8.463333333333333,,,,,,33.56,8.39,,,,,,40.849999999999994,8.169999999999998,,,,,,47.03,7.838333333333334,,,,,,False,SEM_HISTORICO_2023,,1760,Castanhal,PA,Norte,0,Urbano-industrial de maior escala
4304630,Municipal,42.44,50.84,59.19,67.04,74.04,80,,34.4,,75.7,False,,8.04,8.04,,,,,,16.440000000000005,8.220000000000002,,,,,,24.79,8.263333333333334,,,,,,32.64000000000001,8.160000000000002,,,,,,39.64000000000001,7.928000000000002,,,,,,45.6,7.6000000000000005,,,,,,False,SEM_HISTORICO_2023,,1771,Capão da Canoa,RS,Sul,0,Urbano-industrial de maior escala
1200385,Municipal,41.81,50.32,58.81,66.81,73.94,80,,33.78,,80.6,False,,8.030000000000001,8.030000000000001,,,,,,16.54,8.27,,,,,,25.03,8.343333333333334,,,,,,33.03,8.2575,,,,,,40.16,8.032,,,,,,46.22,7.703333333333333,,,,,,False,SEM_HISTORICO_2023,,1777,Plácido de Castro,AC,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
1200435,Municipal,23.62,34.04,46.27,58.96,70.57,80,,15.62,,76.32,False,,8.000000000000002,8.000000000000002,,,,,,18.42,9.21,,,,,,30.650000000000006,10.216666666666669,,,,,,43.34,10.835,,,,,,54.949999999999996,10.989999999999998,,,,,,64.38,10.729999999999999,,,,,,False,SEM_HISTORICO_2023,,1782,Santa Rosa do Purus,AC,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
1300607,Municipal,42.28,50.7,59.09,66.98,74.01,80,,34.3,,95.82,False,,7.980000000000004,7.980000000000004,,,,,,16.400000000000006,8.200000000000003,,,,,,24.790000000000006,8.263333333333335,,,,,,32.68000000000001,8.170000000000002,,,,,,39.71000000000001,7.942000000000002,,,,,,45.7,7.616666666666667,,,,,,False,SEM_HISTORICO_2023,,1785,Benjamin Constant,AM,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
1200179,Municipal,42.9,51.21,59.46,67.2,74.11,80,,34.97,,76.65,False,,7.93,7.93,,,,,,16.240000000000002,8.120000000000001,,,,,,24.490000000000002,8.163333333333334,,,,,,32.230000000000004,8.057500000000001,,,,,,39.14,7.828,,,,,,45.03,7.505,,,,,,False,SEM_HISTORICO_2023,,1794,Capixaba,AC,Norte,2,"Rural, menor renda e maior presenca da administracao publica"
2408706,Municipal,22.17,32.58,45.04,58.16,70.22,80,,14.29,,70.0,False,,7.880000000000003,7.880000000000003,,,,,,18.29,9.145,,,,,,30.75,10.25,,,,,,43.87,10.9675,,,,,,55.93,11.186,,,,,,65.71000000000001,10.951666666666668,,,,,,False,SEM_HISTORICO_2023,,1805,Paraú,RN,Nordeste,1,Pequeno porte agropecuario com maior infraestrutura educacional
2407500,Municipal,42.99,51.29,59.51,67.24,74.13,80,,35.11,,83.76,False,,7.880000000000003,7.880000000000003,,,,,,16.18,8.09,,,,,,24.4,8.133333333333333,,,,,,32.129999999999995,8.032499999999999,,,,,,39.019999999999996,7.803999999999999,,,,,,44.89,7.4816666666666665,,,,,,False,SEM_HISTORICO_2023,,1805,Maxaranguape,RN,Nordeste,2,"Rural, menor renda e maior presenca da administracao publica"
4311130,Municipal,44.16,52.24,60.2,67.66,74.31,80,,36.4,,84.0,False,,7.759999999999998,7.759999999999998,,,,,,15.840000000000003,7.920000000000002,,,,,,23.800000000000004,7.9333333333333345,,,,,,31.259999999999998,7.8149999999999995,,,,,,37.910000000000004,7.582000000000001,,,,,,43.6,7.266666666666667,,,,,,False,SEM_HISTORICO_2023,,1822,Jari,RS,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional
4210704,Municipal,45.04,52.95,60.71,67.97,74.45,80,,37.3,,75.0,False,,7.740000000000002,7.740000000000002,,,,,,15.650000000000006,7.825000000000003,,,,,,23.410000000000004,7.803333333333335,,,,,,30.67,7.6675,,,,,,37.150000000000006,7.4300000000000015,,,,,,42.7,7.116666666666667,,,,,,False,SEM_HISTORICO_2023,,1826,Matos Costa,SC,Sul,1,Pequeno porte agropecuario com maior infraestrutura educacional
