rank_executivo_carga,id_municipio,municipio,sigla_uf,regiao,status_dominio_modelo,n_alunos,probabilidade_media_risco,carga_risco_estimada,taxa_sinalizada_risco,taxa_risco_real,taxa_alfabetizacao_real,rank_probabilidade_risco_geral,rank_carga_risco_geral,percentil_risco_modelo,faixa_risco_relativo
1,3304557,Rio de Janeiro,RJ,Sudeste,DOMINIO_FORTE,43411,0.419070226828416,18192.25761684837,0.9983644698348344,0.3571214669093087,0.6428785330906913,1788,2,0.6760920790284575,P50_P75
2,1302603,Manaus,AM,Norte,DOMINIO_FORTE,23125,0.4502448893138003,10411.913065381632,0.8071783783783784,0.4803891891891892,0.5196108108108108,1413,4,0.7440638027913721,P50_P75
3,2927408,Salvador,BA,Nordeste,DOMINIO_FORTE,12158,0.5978981710819974,7269.2459640149245,1.0,0.6314360914624115,0.3685639085375884,524,5,0.9052021025919884,top_10_percent
4,3106200,Belo Horizonte,MG,Sudeste,DOMINIO_FORTE,16012,0.3735948546840797,5982.000813201485,0.0,0.2946540094928803,0.7053459905071197,2557,7,0.5367047308319739,P50_P75
5,5002704,Campo Grande,MS,Centro-Oeste,DOMINIO_FORTE,10001,0.5741188236739135,5741.76235556281,1.0,0.4830516948305169,0.5169483051694831,687,8,0.8756570599963749,P75_P90
6,2304400,Fortaleza,CE,Nordeste,DOMINIO_FORTE,17722,0.2541507164867531,4504.058997578238,0.0,0.2500846405597562,0.7499153594402438,4762,9,0.1370309951060359,ate_P50
7,3303500,Nova Iguaçu,RJ,Sudeste,DOMINIO_FORTE,6380,0.631496572662345,4028.9481335857613,1.0,0.6639498432601881,0.3360501567398119,265,10,0.9521479064709081,top_10_percent
8,2611606,Recife,PE,Nordeste,DOMINIO_FORTE,9918,0.3912681856793142,3880.5978655674385,0.0,0.4537205081669691,0.5462794918330308,2192,11,0.6028638752945441,P50_P75
9,1501402,Belém,PA,Norte,DOMINIO_FORTE,8616,0.4488781686647696,3867.534301215655,1.0,0.4775998142989786,0.5224001857010213,1423,12,0.7422512234910277,P50_P75
10,1600303,Macapá,AP,Norte,DOMINIO_FORTE,6536,0.5763979181001195,3767.3367927023814,1.0,0.5451346389228886,0.4548653610771114,669,14,0.8789197027369947,P75_P90
11,2704302,Maceió,AL,Nordeste,DOMINIO_FORTE,6460,0.5795240446310786,3743.725328316768,1.0,0.5927244582043344,0.4072755417956656,651,15,0.8821823454776146,P75_P90
12,4314902,Porto Alegre,RS,Sul,DOMINIO_FORTE,7389,0.505530574099974,3735.3654120247083,1.0,0.7170117742590337,0.2829882257409663,1038,16,0.8120355265542868,P75_P90
13,2211001,Teresina,PI,Nordeste,DOMINIO_FORTE,6896,0.5171146417596967,3566.022569574868,1.0,0.4209686774941995,0.5790313225058005,980,17,0.8225484864962842,P75_P90
14,4106902,Curitiba,PR,Sul,DOMINIO_FORTE,12923,0.2751358991146992,3555.581224259258,0.0,0.3382341561556914,0.6617658438443086,4496,18,0.18524560449519667,ate_P50
15,3301702,Duque de Caxias,RJ,Sudeste,DOMINIO_FORTE,6581,0.5004044487499484,3293.16167722341,1.0,0.5433824646710227,0.4566175353289773,1064,20,0.8073228203733913,P75_P90
16,2111300,São Luís,MA,Nordeste,DOMINIO_FORTE,6251,0.5170250050459483,3231.9233065422227,0.9915213565829468,0.430171172612382,0.569828827387618,982,21,0.8221859706362153,P75_P90
17,5208707,Goiânia,GO,Centro-Oeste,DOMINIO_FORTE,8840,0.347109069089632,3068.444170752347,0.0,0.3029411764705882,0.6970588235294117,3172,23,0.42523110386079394,ate_P50
