rank_executivo_probabilidade,id_municipio,municipio,sigla_uf,regiao,status_dominio_modelo,n_alunos,probabilidade_media_risco,carga_risco_estimada,taxa_sinalizada_risco,taxa_risco_real,taxa_alfabetizacao_real,rank_probabilidade_risco_geral,rank_carga_risco_geral,percentil_risco_modelo,faixa_risco_relativo
1,2804805,Nossa Senhora do Socorro,SE,Nordeste,DOMINIO_FORTE,1785,0.7388935514727069,1318.9249893787817,1.0,0.7019607843137254,0.2980392156862745,1,85,1.0,top_10_percent
2,2804904,Pacatuba,SE,Nordeste,DOMINIO_FORTE,106,0.727270378346666,77.09066010474659,1.0,0.6981132075471698,0.3018867924528302,3,1725,0.9996374841399311,top_10_percent
3,2801207,Canindé de São Francisco,SE,Nordeste,DOMINIO_FORTE,460,0.7207209332889086,331.53162931289796,1.0,0.7304347826086957,0.2695652173913043,4,383,0.9994562262098967,top_10_percent
4,2805802,Riachão do Dantas,SE,Nordeste,DOMINIO_FORTE,125,0.7194471069367894,89.93088836709867,1.0,0.656,0.344,5,1490,0.9992749682798623,top_10_percent
5,2805604,Porto da Folha,SE,Nordeste,DOMINIO_FORTE,228,0.7166805079122933,163.40315580400286,1.0,0.8245614035087719,0.175438596491228,6,831,0.9990937103498279,top_10_percent
6,2803609,Laranjeiras,SE,Nordeste,DOMINIO_FORTE,215,0.7111532493120273,152.89794860208588,1.0,0.7302325581395349,0.2697674418604651,7,885,0.9989124524197933,top_10_percent
7,2803302,Japaratuba,SE,Nordeste,DOMINIO_FORTE,167,0.7107849331126138,118.7010838298065,1.0,0.4191616766467065,0.5808383233532934,9,1129,0.9985499365597245,top_10_percent
8,2800407,Arauá,SE,Nordeste,DOMINIO_FORTE,108,0.705422341122357,76.18561284121456,1.0,0.7129629629629629,0.287037037037037,10,1736,0.99836867862969,top_10_percent
9,2907202,Casa Nova,BA,Nordeste,DOMINIO_FORTE,430,0.7014596126480532,301.6276334386629,1.0,0.7906976744186046,0.2093023255813953,11,439,0.9981874206996556,top_10_percent
10,2800670,Boquim,SE,Nordeste,DOMINIO_FORTE,164,0.701215088574201,114.99927452616896,1.0,0.6402439024390244,0.3597560975609756,12,1171,0.9980061627696212,top_10_percent
11,2801306,Capela,SE,Nordeste,DOMINIO_FORTE,317,0.7002829981687829,221.98971041950418,1.0,0.6403785488958991,0.3596214511041009,13,617,0.9978249048395867,top_10_percent
12,2924009,Paulo Afonso,BA,Nordeste,DOMINIO_FORTE,944,0.6997633532870782,660.5766055030018,1.0,0.6949152542372882,0.3050847457627119,15,187,0.9974623889795179,top_10_percent
13,2805307,Pirambu,SE,Nordeste,DOMINIO_FORTE,100,0.6994374241427505,69.94374241427505,1.0,0.61,0.39,17,1876,0.9970998731194489,top_10_percent
14,2807600,Umbaúba,SE,Nordeste,DOMINIO_FORTE,183,0.6974725685439243,127.63748004353813,1.0,0.6065573770491803,0.3934426229508196,21,1047,0.9963748413993112,top_10_percent
15,2803203,Itaporanga d'Ajuda,SE,Nordeste,DOMINIO_FORTE,345,0.6927390806839995,238.9949828359798,1.0,0.5971014492753624,0.4028985507246377,24,568,0.9958310676092079,top_10_percent
16,2805406,Poço Redondo,SE,Nordeste,DOMINIO_FORTE,345,0.6925426608408811,238.927217990104,1.0,0.7333333333333333,0.2666666666666666,25,569,0.9956498096791735,top_10_percent
