id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1100015,RO,Norte,1,2,1,3,1,5,1,3,6
1100023,RO,Norte,0,0,0,1,0,3,4,1,4
1100031,RO,Norte,0,1,2,2,3,4,1,2,2
1100049,RO,Norte,1,0,0,1,0,3,4,1,4
1100056,RO,Norte,0,1,2,2,3,4,1,4,8
1100064,RO,Norte,0,1,2,2,4,4,0,4,8
1100072,RO,Norte,0,1,2,2,3,4,1,3,6
1100080,RO,Norte,1,2,1,3,2,6,5,7,0
1100098,RO,Norte,1,2,1,3,1,5,1,4,6
1100106,RO,Norte,1,2,1,3,1,5,2,0,5
1100114,RO,Norte,0,0,0,1,0,3,4,4,8
1100122,RO,Norte,0,0,0,1,0,3,4,1,4
1100130,RO,Norte,1,2,1,3,1,5,2,0,5
1100148,RO,Norte,0,1,2,4,4,1,0,4,0
1100155,RO,Norte,0,0,0,1,0,3,4,4,8
1100189,RO,Norte,1,0,1,3,1,3,4,1,5
1100205,RO,Norte,1,0,0,1,0,3,4,1,4
1100254,RO,Norte,0,1,2,4,4,1,0,4,8
1100262,RO,Norte,0,1,2,2,3,4,3,2,2
1100288,RO,Norte,0,0,0,1,0,3,4,4,8
1100296,RO,Norte,0,1,2,2,3,4,1,2,2
1100304,RO,Norte,1,0,1,1,1,3,4,1,4
1100320,RO,Norte,1,2,1,2,1,4,1,3,6
1100338,RO,Norte,1,2,1,3,1,5,2,0,5
1100346,RO,Norte,0,1,2,2,3,4,1,4,6
1100379,RO,Norte,1,2,1,2,3,4,1,3,6
1100403,RO,Norte,1,1,2,2,2,6,1,3,6
1100452,RO,Norte,1,2,1,3,1,5,2,0,5
1100502,RO,Norte,0,1,2,4,4,1,0,5,7
1100601,RO,Norte,0,1,2,2,3,4,3,2,2
1100700,RO,Norte,1,2,3,2,3,4,1,3,6
1100809,RO,Norte,1,2,1,3,1,5,2,0,5
1100908,RO,Norte,1,1,2,2,3,4,1,3,6
1100924,RO,Norte,1,2,1,2,1,5,1,3,6
1100940,RO,Norte,1,2,1,3,1,5,1,3,6
1101005,RO,Norte,0,1,2,2,3,4,1,3,6
1101104,RO,Norte,0,1,1,2,3,4,1,4,6
1101203,RO,Norte,0,1,1,2,3,4,1,3,6
1101302,RO,Norte,1,2,1,3,1,5,1,3,6
1101401,RO,Norte,1,2,1,3,1,5,1,3,6
1101435,RO,Norte,1,1,2,2,3,4,1,3,6
1101450,RO,Norte,1,2,3,2,3,4,1,3,6
1101468,RO,Norte,0,1,2,2,3,4,3,2,2
1101476,RO,Norte,0,1,2,2,3,4,1,3,6
1101484,RO,Norte,0,1,2,4,4,1,0,5,7
1101492,RO,Norte,1,2,1,3,1,5,1,3,6
1101500,RO,Norte,1,2,1,2,3,4,1,3,6
1101559,RO,Norte,0,1,2,4,3,1,3,2,2
1101609,RO,Norte,1,2,1,3,1,5,1,3,6
1101708,RO,Norte,1,2,1,3,1,5,1,3,6
1101757,RO,Norte,1,2,1,0,2,6,5,7,3
1101807,RO,Norte,0,1,2,2,3,4,1,3,6
1200013,AC,Norte,1,2,1,3,1,5,2,0,5
1200054,AC,Norte,1,2,1,3,1,5,2,0,5
1200104,AC,Norte,1,2,1,3,1,5,2,0,5
1200138,AC,Norte,1,2,1,3,1,5,2,0,5
1200179,AC,Norte,1,2,1,3,1,5,2,0,5
1200203,AC,Norte,1,2,1,3,1,5,2,0,5
1200252,AC,Norte,1,2,1,3,1,5,2,0,5
1200302,AC,Norte,1,2,1,3,1,5,2,0,5
1200328,AC,Norte,1,2,1,3,1,5,2,0,5
1200336,AC,Norte,1,2,1,3,1,5,2,0,5
1200344,AC,Norte,1,2,1,3,1,5,2,0,5
1200351,AC,Norte,1,2,1,3,1,5,2,0,5
1200385,AC,Norte,1,2,1,3,1,5,2,0,5
1200393,AC,Norte,1,2,1,3,1,5,2,0,5
1200401,AC,Norte,1,0,1,3,1,3,4,1,4
1200427,AC,Norte,1,2,1,3,1,5,2,0,5
1200435,AC,Norte,1,2,1,3,1,5,2,0,5
1200450,AC,Norte,1,2,1,3,1,5,2,0,3
1200500,AC,Norte,1,2,1,3,1,5,2,0,5
1200609,AC,Norte,1,2,1,3,1,5,2,0,5
1200708,AC,Norte,1,2,1,3,1,5,2,0,5
1200807,AC,Norte,1,2,1,3,1,5,2,0,5
1300029,AM,Norte,1,2,1,3,1,5,2,0,5
1300060,AM,Norte,1,2,1,3,1,5,2,0,3
1300086,AM,Norte,1,2,1,3,1,5,2,0,3
1300102,AM,Norte,1,2,3,0,2,6,5,7,0
1300144,AM,Norte,1,2,1,3,2,6,0,4,0
1300201,AM,Norte,1,2,1,3,1,5,2,0,5
1300300,AM,Norte,1,2,1,3,1,5,2,0,5
