cluster_id,regiao,n_municipios,cluster_total,region_total,share_dentro_cluster,share_da_regiao_no_cluster,cluster_codigo
0,Sudeste,623,1374,1664,0.4534206695778748,0.37439903846153844,cluster_0
0,Sul,373,1374,1170,0.2714701601164483,0.3188034188034188,cluster_0
0,Nordeste,180,1374,1782,0.13100436681222707,0.10101010101010101,cluster_0
0,Centro-Oeste,147,1374,466,0.10698689956331878,0.315450643776824,cluster_0
0,Norte,51,1374,435,0.03711790393013101,0.11724137931034483,cluster_0
1,Sul,773,1985,1170,0.3894206549118388,0.6606837606837607,cluster_1
1,Sudeste,763,1985,1664,0.38438287153652395,0.45853365384615385,cluster_1
1,Centro-Oeste,267,1985,466,0.1345088161209068,0.572961373390558,cluster_1
1,Nordeste,94,1985,1782,0.0473551637279597,0.052749719416386086,cluster_1
1,Norte,88,1985,435,0.04433249370277078,0.20229885057471264,cluster_1
2,Nordeste,1508,2158,1782,0.6987951807228916,0.8462401795735129,cluster_2
2,Norte,296,2158,435,0.1371640407784986,0.6804597701149425,cluster_2
2,Sudeste,278,2158,1664,0.12882298424467098,0.16706730769230768,cluster_2
2,Centro-Oeste,52,2158,466,0.024096385542168676,0.11158798283261803,cluster_2
2,Sul,24,2158,1170,0.011121408711770158,0.020512820512820513,cluster_2
