cluster_id,sigla_uf,n_municipios,cluster_total,share_dentro_cluster,cluster_codigo
0,SP,310,1374,0.22561863173216884,cluster_0
0,MG,218,1374,0.1586608442503639,cluster_0
0,RS,136,1374,0.09898107714701601,cluster_0
0,SC,119,1374,0.08660844250363901,cluster_0
0,PR,118,1374,0.0858806404657933,cluster_0
0,GO,80,1374,0.05822416302765648,cluster_0
0,RJ,58,1374,0.042212518195050945,cluster_0
0,BA,46,1374,0.033478893740902474,cluster_0
0,MT,39,1374,0.028384279475982533,cluster_0
0,ES,37,1374,0.026928675400291122,cluster_0
0,RN,28,1374,0.020378457059679767,cluster_0
0,MS,27,1374,0.019650655021834062,cluster_0
0,PE,27,1374,0.019650655021834062,cluster_0
0,PA,25,1374,0.018195050946142648,cluster_0
0,CE,23,1374,0.016739446870451237,cluster_0
0,PB,15,1374,0.010917030567685589,cluster_0
0,SE,13,1374,0.009461426491994178,cluster_0
0,MA,12,1374,0.008733624454148471,cluster_0
0,TO,12,1374,0.008733624454148471,cluster_0
0,PI,9,1374,0.006550218340611353,cluster_0
0,RO,9,1374,0.006550218340611353,cluster_0
0,AL,7,1374,0.005094614264919942,cluster_0
0,AM,3,1374,0.002183406113537118,cluster_0
0,AC,1,1374,0.000727802037845706,cluster_0
0,AP,1,1374,0.000727802037845706,cluster_0
0,DF,1,1374,0.000727802037845706,cluster_0
1,MG,429,1985,0.21612090680100757,cluster_1
1,RS,337,1985,0.16977329974811084,cluster_1
1,SP,307,1985,0.15465994962216625,cluster_1
1,PR,266,1985,0.1340050377833753,cluster_1
1,SC,170,1985,0.08564231738035265,cluster_1
1,GO,145,1985,0.07304785894206549,cluster_1
1,MT,79,1985,0.039798488664987405,cluster_1
1,TO,66,1985,0.03324937027707808,cluster_1
1,MS,43,1985,0.021662468513853905,cluster_1
1,RN,26,1985,0.01309823677581864,cluster_1
1,RO,22,1985,0.011083123425692695,cluster_1
1,ES,18,1985,0.00906801007556675,cluster_1
1,PB,15,1985,0.007556675062972292,cluster_1
1,PI,13,1985,0.00654911838790932,cluster_1
1,BA,12,1985,0.006045340050377834,cluster_1
1,AL,11,1985,0.0055415617128463475,cluster_1
1,RJ,9,1985,0.004534005037783375,cluster_1
1,CE,8,1985,0.004030226700251889,cluster_1
1,MA,5,1985,0.0025188916876574307,cluster_1
1,PE,2,1985,0.0010075566750629723,cluster_1
1,SE,2,1985,0.0010075566750629723,cluster_1
2,BA,349,2158,0.16172381835032437,cluster_2
2,MG,205,2158,0.09499536607970342,cluster_2
2,PI,202,2158,0.09360518999073215,cluster_2
2,MA,200,2158,0.09267840593141798,cluster_2
2,PB,191,2158,0.08850787766450417,cluster_2
2,PE,156,2158,0.07228915662650602,cluster_2
2,CE,153,2158,0.07089898053753475,cluster_2
2,PA,119,2158,0.0551436515291937,cluster_2
2,RN,113,2158,0.052363299351251155,cluster_2
2,AL,84,2158,0.03892493049119555,cluster_2
2,TO,61,2158,0.028266913809082483,cluster_2
2,SE,60,2158,0.027803521779425393,cluster_2
2,AM,59,2158,0.027340129749768304,cluster_2
2,RJ,25,2158,0.011584800741427247,cluster_2
2,SP,25,2158,0.011584800741427247,cluster_2
2,ES,23,2158,0.010658016682113068,cluster_2
2,MT,23,2158,0.010658016682113068,cluster_2
2,AC,21,2158,0.009731232622798888,cluster_2
2,RO,21,2158,0.009731232622798888,cluster_2
2,GO,20,2158,0.009267840593141797,cluster_2
2,AP,15,2158,0.006950880444856348,cluster_2
2,PR,15,2158,0.006950880444856348,cluster_2
2,MS,9,2158,0.004170528266913809,cluster_2
2,RS,6,2158,0.0027803521779425394,cluster_2
2,SC,3,2158,0.0013901760889712697,cluster_2
