feature,pearson_aluno_target,spearman_contexto_taxa,gap_extremos_pp,n_grupos_quantile,abs_pearson_aluno_target,abs_spearman_contexto_taxa
proporcao_biblioteca_sala_leitura,0.08763669309195332,0.2834417806965757,11.335117900864377,3,0.08763669309195332,0.2834417806965757
proporcao_internet_aprendizagem,0.09432162188140067,0.26191871291197205,10.851555543633019,3,0.09432162188140067,0.26191871291197205
quantidade_escolas_anos_iniciais,-0.021912997242231964,-0.2615287378785642,-10.39145418394477,4,0.021912997242231964,0.2615287378785642
razao_matriculas_docentes_anos_iniciais,-0.08337831741267433,-0.25809279265545126,-11.286368399066104,4,0.08337831741267433,0.25809279265545126
total_matriculas_anos_iniciais,-0.010248445728784639,-0.21702914996590947,-9.42176586217408,4,0.010248445728784639,0.21702914996590947
proporcao_escolas_rurais,-0.048285073849014204,-0.2122518973253645,-7.869128326542896,3,0.048285073849014204,0.2122518973253645
proporcao_laboratorio_informatica,0.05649789249984415,0.20888307008366194,7.469440593458931,3,0.05649789249984415,0.20888307008366194
total_turmas_anos_iniciais,-0.01039681122710793,-0.1960277920248568,-8.156217269274624,4,0.01039681122710793,0.1960277920248568
alunos_por_turma_anos_iniciais,-0.048908434132139966,-0.1905736454513815,-7.219873852005576,4,0.048908434132139966,0.1905736454513815
total_docentes_anos_iniciais,-0.004463624486845514,-0.16170932132677232,-6.364629808470279,4,0.004463624486845514,0.16170932132677232
proporcao_matriculas_integral_anos_iniciais,0.05736525973560955,-0.07329803124283263,5.534902494316474,3,0.05736525973560955,0.07329803124283263
