feature,n,n_unique,min,p01,p05,p25,p50,p75,p95,p99,max,mean,std,skew_raw,skew_log1p,reducao_abs_skew_log1p,candidata_log1p_distribuicao
quantidade_escolas_anos_iniciais,5877,137,1.0,1.0,1.0,2.0,5.0,13.0,44.0,98.0,790.0,12.055640632976008,22.388589633977663,11.078196960235603,0.6205827986503754,10.457614161585228,True
total_matriculas_anos_iniciais,5877,2368,29.0,61.76,105.0,265.0,581.0,1344.0,5078.5999999999985,16224.599999999997,263015.0,1540.6077930917133,5279.906906658689,26.293743956221174,0.5050159981691384,25.788727958052036,True
total_docentes_anos_iniciais,5877,493,0.0,5.0,8.0,18.0,36.0,77.0,258.1999999999998,799.6799999999985,11349.0,83.13578356304237,243.85355671240612,22.588069126884367,0.6301319822864735,21.957937144597892,True
total_turmas_anos_iniciais,5877,431,0.0,5.0,6.0,15.0,29.0,63.0,218.0,653.9199999999983,9361.0,68.58175940105497,201.46200740995138,22.587593991462118,0.6264902495525282,21.96110374190959,True
proporcao_escolas_rurais,5877,497,0.0,0.0,0.0,0.0,0.5,0.75,0.9390983000739097,1.0,1.0,0.44823694303465134,0.34004846820081286,-0.08870310059154753,-0.2838609054382974,-0.19515780484674988,False
proporcao_internet_aprendizagem,5877,812,0.0,0.0,0.0,0.2777777777777777,0.6666666666666666,1.0,1.0,1.0,1.0,0.6053603015160589,0.3699555777319284,-0.36324919785230253,-0.570483879971998,-0.20723468211969548,False
proporcao_biblioteca_sala_leitura,5877,784,0.0,0.0,0.0,0.25,0.6,1.0,1.0,1.0,1.0,0.5851516466804532,0.3648841098994569,-0.20674434608719705,-0.41208288930491865,-0.2053385432177216,False
proporcao_laboratorio_informatica,5877,644,0.0,0.0,0.0,0.0,0.25,0.75,1.0,1.0,1.0,0.3865628406185614,0.38716545154523546,0.5218857988414565,0.3469755078862469,0.17491029095520955,False
proporcao_matriculas_integral_anos_iniciais,5877,3512,0.0,0.0,0.0,0.0,0.016209476309226933,0.12612612612612611,0.8711526105563001,1.0,1.0,0.13544051585183461,0.25665389776853675,2.2984691163811193,2.037708888442137,0.26076022793898224,True
alunos_por_turma_anos_iniciais,5875,4013,3.6842105263157894,9.723157894736842,12.777777777777779,17.154700854700856,20.12,23.05425824175824,27.5,33.764767616191904,80.0,20.24724244877795,4.934027931271696,1.1896937860957848,-0.5477749163907745,0.6419188697050103,True
razao_matriculas_docentes_anos_iniciais,5875,4461,3.6842105263157894,6.5694876660341555,8.886928104575164,13.0,16.295774647887324,20.279622641509434,26.75772238514174,33.17850579077275,58.857142857142854,16.95615078846819,5.713744266058069,0.9410290204876504,-0.24564757375434668,0.6953814467333037,False
