feature_a,feature_b,spearman_rho,abs_spearman_rho
total_matriculas_anos_iniciais,total_turmas_anos_iniciais,0.9772091682169104,0.9772091682169104
total_docentes_anos_iniciais,total_turmas_anos_iniciais,0.9741752237967067,0.9741752237967067
total_matriculas_anos_iniciais,total_docentes_anos_iniciais,0.954479841934221,0.954479841934221
quantidade_escolas_anos_iniciais,total_turmas_anos_iniciais,0.862864832170517,0.862864832170517
quantidade_escolas_anos_iniciais,total_matriculas_anos_iniciais,0.8601530927382565,0.8601530927382565
quantidade_escolas_anos_iniciais,total_docentes_anos_iniciais,0.8409713357655771,0.8409713357655771
alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,0.7107130072575377,0.7107130072575377
proporcao_escolas_rurais,proporcao_biblioteca_sala_leitura,-0.5483334997957483,0.5483334997957483
quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,0.518469340930517,0.518469340930517
proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,0.5036768978235412,0.5036768978235412
total_matriculas_anos_iniciais,alunos_por_turma_anos_iniciais,0.49682610384173886,0.49682610384173886
quantidade_escolas_anos_iniciais,proporcao_biblioteca_sala_leitura,-0.4861246120739481,0.4861246120739481
total_matriculas_anos_iniciais,razao_matriculas_docentes_anos_iniciais,0.43506647087133166,0.43506647087133166
proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,0.4176115146609568,0.4176115146609568
proporcao_escolas_rurais,proporcao_laboratorio_informatica,-0.4023464861741662,0.4023464861741662
proporcao_escolas_rurais,proporcao_internet_aprendizagem,-0.3820918395625236,0.3820918395625236
quantidade_escolas_anos_iniciais,proporcao_internet_aprendizagem,-0.3732184650552803,0.3732184650552803
proporcao_internet_aprendizagem,proporcao_laboratorio_informatica,0.36660990945962874,0.36660990945962874
quantidade_escolas_anos_iniciais,alunos_por_turma_anos_iniciais,0.3525175925329488,0.3525175925329488
quantidade_escolas_anos_iniciais,razao_matriculas_docentes_anos_iniciais,0.33032916359447223,0.33032916359447223
total_turmas_anos_iniciais,alunos_por_turma_anos_iniciais,0.3255835900524281,0.3255835900524281
total_docentes_anos_iniciais,alunos_por_turma_anos_iniciais,0.31955868619804834,0.31955868619804834
total_turmas_anos_iniciais,razao_matriculas_docentes_anos_iniciais,0.31408752488451186,0.31408752488451186
total_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,0.30038455966479793,0.30038455966479793
total_matriculas_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,0.29820827948593454,0.29820827948593454
quantidade_escolas_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,0.29328854215869354,0.29328854215869354
total_matriculas_anos_iniciais,proporcao_biblioteca_sala_leitura,-0.2850235419487667,0.2850235419487667
total_turmas_anos_iniciais,proporcao_biblioteca_sala_leitura,-0.27991134753737207,0.27991134753737207
total_turmas_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,0.27550527241648204,0.27550527241648204
quantidade_escolas_anos_iniciais,proporcao_laboratorio_informatica,-0.2632754591530318,0.2632754591530318
total_docentes_anos_iniciais,proporcao_biblioteca_sala_leitura,-0.24761533067422237,0.24761533067422237
total_turmas_anos_iniciais,proporcao_internet_aprendizagem,-0.23961357592682941,0.23961357592682941
total_matriculas_anos_iniciais,proporcao_internet_aprendizagem,-0.2355816128799046,0.2355816128799046
total_turmas_anos_iniciais,proporcao_escolas_rurais,0.23028358565446086,0.23028358565446086
total_matriculas_anos_iniciais,proporcao_escolas_rurais,0.2128767235750432,0.2128767235750432
total_docentes_anos_iniciais,proporcao_internet_aprendizagem,-0.21171233561096306,0.21171233561096306
proporcao_biblioteca_sala_leitura,razao_matriculas_docentes_anos_iniciais,-0.2104186740873392,0.2104186740873392
total_docentes_anos_iniciais,proporcao_escolas_rurais,0.2033943611347515,0.2033943611347515
proporcao_matriculas_integral_anos_iniciais,alunos_por_turma_anos_iniciais,0.20161650802963166,0.20161650802963166
total_docentes_anos_iniciais,razao_matriculas_docentes_anos_iniciais,0.17183773523170284,0.17183773523170284
proporcao_internet_aprendizagem,razao_matriculas_docentes_anos_iniciais,-0.15740093277927558,0.15740093277927558
proporcao_biblioteca_sala_leitura,proporcao_matriculas_integral_anos_iniciais,-0.1460236348458382,0.1460236348458382
proporcao_biblioteca_sala_leitura,alunos_por_turma_anos_iniciais,-0.13354814768775772,0.13354814768775772
proporcao_laboratorio_informatica,razao_matriculas_docentes_anos_iniciais,-0.1321043302666471,0.1321043302666471
total_turmas_anos_iniciais,proporcao_laboratorio_informatica,-0.12826327375465324,0.12826327375465324
total_matriculas_anos_iniciais,proporcao_laboratorio_informatica,-0.12264194382637383,0.12264194382637383
proporcao_escolas_rurais,razao_matriculas_docentes_anos_iniciais,0.10661818478258535,0.10661818478258535
proporcao_escolas_rurais,proporcao_matriculas_integral_anos_iniciais,0.10095953294341986,0.10095953294341986
total_docentes_anos_iniciais,proporcao_laboratorio_informatica,-0.09806022876366353,0.09806022876366353
proporcao_internet_aprendizagem,alunos_por_turma_anos_iniciais,-0.09038983034030158,0.09038983034030158
proporcao_internet_aprendizagem,proporcao_matriculas_integral_anos_iniciais,-0.07938090436235877,0.07938090436235877
proporcao_matriculas_integral_anos_iniciais,razao_matriculas_docentes_anos_iniciais,0.07351126248977252,0.07351126248977252
proporcao_laboratorio_informatica,proporcao_matriculas_integral_anos_iniciais,-0.05693495583976583,0.05693495583976583
proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,-0.03231938847071091,0.03231938847071091
proporcao_escolas_rurais,alunos_por_turma_anos_iniciais,0.024690513321464578,0.024690513321464578
