feature,grupo_quantile,contextos,quantidade_alunos,alfabetizados,feature_min,feature_max,taxa_alfabetizacao
quantidade_escolas_anos_iniciais,0,1602,69910,46817,1.0,2.0,0.6696752968101846
quantidade_escolas_anos_iniciais,1,1356,117009,74056,3.0,5.0,0.6329085796819048
quantidade_escolas_anos_iniciais,2,1504,262953,160821,6.0,13.0,0.6115959886367526
quantidade_escolas_anos_iniciais,3,1415,1052862,595668,14.0,790.0,0.5657607549707369
total_matriculas_anos_iniciais,0,1471,41106,27407,29.0,265.0,0.6667396487130832
total_matriculas_anos_iniciais,1,1472,97555,61385,266.0,581.0,0.6292347906309261
total_matriculas_anos_iniciais,2,1465,210940,128376,582.0,1344.0,0.6085901204133877
total_matriculas_anos_iniciais,3,1469,1153133,660194,1345.0,263015.0,0.5725219900913424
total_docentes_anos_iniciais,0,1528,48399,30920,0.0,18.0,0.6388561747143536
total_docentes_anos_iniciais,1,1458,103106,64008,19.0,36.0,0.6207980136946444
total_docentes_anos_iniciais,2,1423,208653,125213,37.0,77.0,0.600101604098671
total_docentes_anos_iniciais,3,1468,1142576,657221,78.0,11349.0,0.5752098766296508
total_turmas_anos_iniciais,0,1610,49921,32656,0.0,15.0,0.6541535626289537
total_turmas_anos_iniciais,1,1347,93883,58365,16.0,29.0,0.6216780460786298
total_turmas_anos_iniciais,2,1461,212086,129668,30.0,63.0,0.611393491319559
total_turmas_anos_iniciais,3,1459,1146844,656673,64.0,9361.0,0.5725913899362075
proporcao_escolas_rurais,0,3288,1017742,608019,0.0,0.5,0.5974195817800582
proporcao_escolas_rurais,1,1222,260065,152667,0.5076923076923077,0.75,0.5870340107280873
proporcao_escolas_rurais,2,1367,224927,116676,0.7551020408163265,1.0,0.5187282985146292
proporcao_internet_aprendizagem,0,1470,284163,146103,0.0,0.2777777777777777,0.5141520887659548
proporcao_internet_aprendizagem,1,1536,479297,270937,0.2777777777777778,0.6666666666666666,0.5652799829750655
proporcao_internet_aprendizagem,2,2871,739274,460322,0.6666666666666667,1.0,0.6226676442022849
proporcao_biblioteca_sala_leitura,0,1520,254038,128103,0.0,0.25,0.504267078153662
proporcao_biblioteca_sala_leitura,1,1455,411326,232084,0.25000000000000006,0.6,0.5642337221571211
proporcao_biblioteca_sala_leitura,2,2902,837370,517175,0.6000000000000001,1.0,0.6176182571623058
proporcao_laboratorio_informatica,0,2973,659230,367770,0.0,0.25,0.5578781305462434
proporcao_laboratorio_informatica,1,1490,549514,323622,0.25000000000000006,0.75,0.588924031052894
proporcao_laboratorio_informatica,2,1414,293990,185970,0.7500000000000001,1.0,0.6325725364808327
proporcao_matriculas_integral_anos_iniciais,0,2939,450994,257282,0.0,0.016209476309226933,0.5704776560220314
proporcao_matriculas_integral_anos_iniciais,1,1469,610669,344046,0.016227180527383367,0.12612612612612611,0.5633919521049865
proporcao_matriculas_integral_anos_iniciais,2,1469,441071,276034,0.12626262626262627,1.0,0.6258266809651961
alunos_por_turma_anos_iniciais,0,1469,85755,54270,3.6842105263157894,17.153846153846153,0.6328493965366451
alunos_por_turma_anos_iniciais,1,1470,209963,128915,17.155555555555555,20.12,0.6139891314183927
alunos_por_turma_anos_iniciais,2,1467,407937,246173,20.125,23.053571428571427,0.6034583771513738
alunos_por_turma_anos_iniciais,3,1469,799068,447998,23.054945054945055,80.0,0.5606506580165893
razao_matriculas_docentes_anos_iniciais,0,1480,130422,85433,3.6842105263157894,13.0,0.6550505282851052
razao_matriculas_docentes_anos_iniciais,1,1458,293628,183876,13.017241379310345,16.295774647887324,0.6262209326086068
razao_matriculas_docentes_anos_iniciais,2,1468,404304,242413,16.296296296296298,20.279245283018867,0.5995810083501524
razao_matriculas_docentes_anos_iniciais,3,1469,674369,365634,20.28,58.857142857142854,0.5421868442944442
