feature_set,model,fold,raw_features,transformed_features,train_rows,validation_rows,train_municipalities,validation_municipalities,municipality_overlap,runtime_seconds,accuracy,balanced_accuracy,roc_auc_literate,pr_auc_risk,precision_risk,recall_risk,f1_risk,recall_literate,actual_risk_rate,predicted_risk_rate
baseline,decision_tree,1,9,14,1202247,300562,3899,972,0,4.047052099998837,0.5309320539522627,0.5409111867354396,0.5704787171849883,0.4757469260635527,0.4539248532007637,0.6017622337546563,0.5174920428488312,0.48006013971622286,0.4180036065770124,0.5541419074932958
baseline,decision_tree,2,9,14,1202247,300562,3897,974,0,3.892713699999149,0.5221551626619466,0.5316765348255409,0.549722514704413,0.4540118714228954,0.45061813227851505,0.5933843720739931,0.5122396859250404,0.4699686975770887,0.42285119210013244,0.5568202234480739
baseline,decision_tree,3,9,14,1202247,300562,3896,975,0,4.28935900000215,0.5268896267658586,0.5379610369145337,0.5460917207992251,0.4461501481466488,0.4443626130171846,0.600355943857946,0.5107131182795699,0.4755661299711213,0.41127953633526526,0.5556590653509093
baseline,decision_tree,4,9,14,1202247,300562,3896,975,0,4.201832000002469,0.544895895023323,0.5463196928210985,0.5630511991431189,0.47576108820412055,0.46299001381068733,0.555002825555759,0.5048380615898092,0.537636560086438,0.41801358787870724,0.5010879618847359
baseline,decision_tree,5,9,14,1202248,300561,3896,975,0,4.0147326000005705,0.5120657703427923,0.5353001926700687,0.554159066759919,0.45721699195803683,0.4379611893951116,0.6651917762704722,0.5281736813996435,0.405408609069665,0.41056224859512713,0.6235772438872641
enriched,decision_tree,1,17,22,1202247,300562,3899,972,0,6.816999800001213,0.5577950639136019,0.5429621550649821,0.5614689064943937,0.46209752846429575,0.46993668270264016,0.4525136107485116,0.46106060483184247,0.6334106993814528,0.4180036065770124,0.4025059721455141
enriched,decision_tree,2,17,22,1202247,300562,3897,974,0,6.737908099999913,0.5392730950685716,0.5526180953442063,0.560708208125664,0.4678190094016819,0.4672564946271198,0.6391067958109415,0.5398349776857664,0.4661293948774709,0.42285119210013244,0.5783698538072012
enriched,decision_tree,3,17,22,1202247,300562,3896,975,0,6.618166899999778,0.540387673757827,0.5421139087427201,0.5609475621179041,0.45969272241122605,0.451884286461887,0.5518424139465276,0.49688608535403933,0.5323854035389127,0.41127953633526526,0.5022557741830305
enriched,decision_tree,4,17,22,1202247,300562,3896,975,0,6.7763718999995035,0.5676732254909137,0.5595677860652757,0.5708803997564889,0.46757902547945956,0.48376456735704365,0.5101361838282699,0.49660051060137067,0.6089993883022816,0.41801358787870724,0.44080089964799274
enriched,decision_tree,5,17,22,1202248,300561,3896,975,0,6.429416900002252,0.5211953646680707,0.5250072061034747,0.5435261008750977,0.4512079903672304,0.43398072627316675,0.5463172310958759,0.48371242017650856,0.5036971811110735,0.41056224859512713,0.5168368484267752
baseline,random_forest,1,9,14,1202247,300562,3899,972,0,85.4266925999982,0.5850506717416041,0.5239989624852822,0.5778675743222824,0.47891454240385867,0.5123373830770885,0.1517160686427457,0.23410709899287643,0.8962818563278186,0.4180036065770124,0.1237814494180901
baseline,random_forest,2,9,14,1202247,300562,3897,974,0,456.3242418000009,0.5755185286230462,0.523617609098685,0.5842877725434331,0.488983688040594,0.4949049619431851,0.18724870763928778,0.27169923335559626,0.8599865105580824,0.42285119210013244,0.15998695776578542
baseline,random_forest,3,9,14,1202247,300562,3896,975,0,585.2351047000011,0.5625461635203386,0.5127501516499904,0.5613465040078615,0.44177367325588146,0.43971924662467626,0.23211584354649517,0.3038418366266387,0.7933844597534855,0.41127953633526526,0.21710329316413918
baseline,random_forest,4,9,14,1202247,300562,3896,975,0,697.8065418000006,0.5955410198228651,0.5371200475682845,0.5960527685776337,0.5051585774611524,0.5492433399410144,0.1808355685734525,0.2720876620460465,0.8934045265631163,0.41801358787870724,0.13762884196937736
baseline,random_forest,5,9,14,1202248,300561,3896,975,0,831.4017237999979,0.5857213677090507,0.5152561746137653,0.5515685919012123,0.4503872178001004,0.4820180945941595,0.12132189077707274,0.1938520503955768,0.9091904584504578,0.41056224859512713,0.10333676025831695
enriched,random_forest,1,17,22,1202247,300562,3899,972,0,1114.080436199998,0.5930224046952043,0.5408089644712599,0.6028873436057133,0.5003850161260688,0.5315174801232548,0.22242032538444395,0.3136075416643286,0.859197603558076,0.4180036065770124,0.17491898510124368
enriched,random_forest,2,17,22,1202247,300562,3897,974,0,318.927163700002,0.5903374345392964,0.5385602247506187,0.6028797594389177,0.5039576368294086,0.5416089347944746,0.20299308380477288,0.2953063922576362,0.8741273656964645,0.42285119210013244,0.1584831083104318
enriched,random_forest,3,17,22,1202247,300562,3896,975,0,316.4095684000022,0.5995202320985354,0.5428063105816,0.6039622866238022,0.4923431883449225,0.5312524069937611,0.22318488856530355,0.3143203814363105,0.8624277325978965,0.41127953633526526,0.17278298653855112
enriched,random_forest,4,17,22,1202247,300562,3896,975,0,337.1374513999981,0.6049833312261697,0.5503047479726496,0.6054517303861042,0.5124831373396079,0.5726416680679334,0.2168434960482016,0.3145685997171146,0.8837659998970976,0.41801358787870724,0.15829013647766518
enriched,random_forest,5,17,22,1202248,300561,3896,975,0,330.8347549999962,0.5964446485072914,0.5401898879949458,0.5946698293305552,0.4885186384296435,0.5196469885812374,0.22569874958468059,0.3147094550693522,0.854681026405211,0.41056224859512713,0.17831987516677147
