feature,profile_type,level_or_bin,n,value_min,value_mean,value_max,mean_shap_risk,median_shap_risk,mean_abs_shap_risk,actual_risk_rate,predicted_risk_mean
rede_nome,category,Estadual,2622,,,,-0.08148061329963127,-0.0777136540576106,0.08167416995478656,0.35430968726163237,0.4047188500045999
rede_nome,category,Municipal,17378,,,,0.005890636859896418,0.005751042439533673,0.006031832493128441,0.4094257106686615,0.41380537454709143
regiao,category,Centro-Oeste,1892,,,,0.08712592621079968,0.09094218096451731,0.08712592621079968,0.35306553911205074,0.4233830499159203
regiao,category,Nordeste,5026,,,,0.0921765426882927,0.09583141644740034,0.0921765426882927,0.4313569438917628,0.44435870043849457
regiao,category,Norte,2031,,,,0.062359204888804975,0.06176699814404883,0.062359204888804975,0.49286065977351057,0.48989688646843993
regiao,category,Sudeste,8043,,,,-0.017101716451243105,-0.019871322335857713,0.0236059019509077,0.3770980977247296,0.406979208242845
regiao,category,Sul,3008,,,,-0.21697598611353172,-0.22001006888637603,0.21697598611353172,0.39029255319148937,0.3156850786010697
capital_uf,category,0,16284,,,,-0.00031356049558069096,-0.00019482526747476942,0.00031356049558069096,0.39664701547531317,0.40559635749132944
capital_uf,category,1,3716,,,,0.0033407953032501517,0.0029105336358590745,0.0033407953032501517,0.4265339074273412,0.44336693708358665
amazonia_legal,category,0,16909,,,,-0.001315289281939856,-0.0007964869269320419,0.0013159734891838308,0.3915666213259211,0.40200588930617154
amazonia_legal,category,1,3091,,,,0.005157436376561621,0.0035777575699943677,0.005221540624085788,0.46036881268197993,0.4706454355591594
populacao_2020,quantile,"(1117.999, 23876.0]",4002,1118.0,12955.930784607695,23876.0,-0.09337003222077207,-0.08635084105351051,0.09404620923474208,0.3580709645177411,0.3795665320605444
populacao_2020,quantile,"(217311.0, 711825.0]",4021,217698.0,403583.5836856503,711825.0,0.036794703801897706,0.025970388664749128,0.03792757197709677,0.4260134294951505,0.4256537935225809
populacao_2020,quantile,"(23876.0, 67620.0]",4008,23898.0,41604.05164670659,67620.0,-0.013122417745783314,-0.0013109706620350364,0.024174094396896856,0.40344311377245506,0.40521290924158776
populacao_2020,quantile,"(67620.0, 217311.0]",3992,67735.0,122658.90656312625,217311.0,0.003598976937391791,0.007515205583896993,0.016473251323537278,0.3990480961923848,0.40851576417254204
populacao_2020,quantile,"(711825.0, 12325232.0]",3977,721368.0,5040081.02640181,12325232.0,0.03661308687235103,0.018708136921940274,0.03964444707016181,0.42444053306512447,0.44425828205022583
pib_por_habitante_2020,quantile,"(15341.878, 24278.307]",4009,15353.77121982666,20163.668015527,24278.307401897157,0.02257873580981428,0.020401219677794676,0.026554706524102998,0.41282115240708406,0.42837291593709576
pib_por_habitante_2020,quantile,"(24278.307, 38095.825]",3990,24295.081967213115,30436.62681837485,38095.82487677588,0.01302298576136216,0.01243453750643832,0.014076623324847399,0.39223057644110276,0.39985599956539786
pib_por_habitante_2020,quantile,"(38095.825, 51050.935]",4003,38119.57142857143,44976.466486187055,51050.93492231154,-0.0019471787847839415,-0.003768824769038065,0.008328888205106364,0.38745940544591556,0.38626882168954224
pib_por_habitante_2020,quantile,"(51050.935, 590594.94]",3995,51179.52223641108,79036.70662153364,590594.9400309687,-0.01388982486679451,-0.007846370661898496,0.02118374183252577,0.39849812265331663,0.4089810687647031
pib_por_habitante_2020,quantile,"(5379.061, 15341.878]",4003,5379.061784897025,10951.832765218704,15341.877880184331,-0.013453941520887148,-0.003316878222725007,0.028353426188599238,0.4199350487134649,0.43951953594689874
participacao_agropecuaria_2020,quantile,"(-0.001, 0.00114]",4000,0.0,0.00037523813471969174,0.001111543922018426,0.0859505790010503,0.07868441756558543,0.0859505790010503,0.43175,0.44260859125585644
participacao_agropecuaria_2020,quantile,"(0.00114, 0.0106]",4021,0.001151688840606719,0.004179950503219042,0.010614955526449641,0.04502233679184164,0.044243964796849264,0.04507717124846596,0.40661526983337476,0.4232262966704902
participacao_agropecuaria_2020,quantile,"(0.0106, 0.0562]",3980,0.01064194242352739,0.028291397320718937,0.05624404194470925,0.018780415228577083,0.023576309010847705,0.026663392056041856,0.41708542713567837,0.4174572741171156
participacao_agropecuaria_2020,quantile,"(0.0562, 0.166]",3999,0.05634596128170895,0.10473042822859792,0.16592900735688762,-0.028960719175461194,-0.027556355818039318,0.0308342170674227,0.3763440860215054,0.3907092930071367
participacao_agropecuaria_2020,quantile,"(0.166, 0.88]",4000,0.16608707781989757,0.32160475478975714,0.8800306402474476,-0.04802177926920931,-0.04721366330596812,0.05205396538893429,0.37925,0.38903222648357255
participacao_industria_2020,quantile,"(0.009399999999999999, 0.0734]",4002,0.010370584632137752,0.04710848475332562,0.07341333722620731,0.05847249294004591,0.04861500317855386,0.06023990081776088,0.4045477261369315,0.43342124851298797
participacao_industria_2020,quantile,"(0.0734, 0.128]",4075,0.07354784693373351,0.0995340812194746,0.12815698610357212,0.025661552250390463,0.023341715866856953,0.029214953503435035,0.44245398773006134,0.4358014223238642
participacao_industria_2020,quantile,"(0.128, 0.18]",3923,0.12827644491536114,0.15257430316934084,0.17993345848304407,-0.002183633152945484,-0.005573000909940228,0.008703668708285,0.4035177160336477,0.41905458329258694
participacao_industria_2020,quantile,"(0.18, 0.292]",4038,0.17999643430201462,0.23558974725175064,0.2918702364401507,-0.008887694727189168,-0.009212918128675944,0.011749897285188313,0.36181277860326894,0.3834855890095921
participacao_industria_2020,quantile,"(0.292, 0.924]",3962,0.2921329861806529,0.4136380884196947,0.924203331992435,-0.00787054612205719,-0.010701449702293073,0.021068543207698374,0.3982836951034831,0.39105856950912166
participacao_administracao_publica_2020,quantile,"(0.0163, 0.111]",4000,0.017347299225391268,0.08534494248704055,0.11085038106698757,-0.03247121265263466,-0.03257535727125121,0.03281487497314849,0.4085,0.40758367181995153
participacao_administracao_publica_2020,quantile,"(0.111, 0.162]",4005,0.11090566604647938,0.13639839893540534,0.16150364233842776,-0.04862916969275535,-0.047404102364899336,0.04871809377498594,0.3762796504369538,0.366095327635887
