rank,feature,transformed_components,mean_abs_shap_risk,mean_shap_risk,median_shap_risk,std_shap_risk,p05_shap_risk,p95_shap_risk,positive_share,negative_share
1,sigla_uf,23,0.23242486687613673,0.013717239202775806,0.07093622743411651,0.3973780902142429,-0.45131432019948214,0.6448175574211756,0.74555,0.25445
2,regiao,5,0.07986495683460046,-0.001771988528774839,-0.004143972472095865,0.10636377573244125,-0.23131068852917153,0.12745952558095602,0.49105,0.50895
3,proporcao_internet_aprendizagem,1,0.07218944720535703,-0.02633326991614125,-0.05672689880443072,0.07559763475856895,-0.12662595092662912,0.09353229272705592,0.45195,0.54805
4,participacao_administracao_publica_2020,1,0.05290695992434789,-0.008575664625125967,-0.03507424481102677,0.062217413428541035,-0.0684360474047729,0.11222262164752422,0.28655,0.71345
5,participacao_agropecuaria_2020,1,0.048134990879284495,0.01458410758972133,0.02164587769925983,0.05616702493023337,-0.07026404372936831,0.09879211573724994,0.59145,0.40855
6,populacao_2020,1,0.04245983259508505,-0.005916632642989532,0.007886773803699306,0.06498209168658661,-0.11897543016199162,0.07014943673144722,0.60845,0.39155
7,quantidade_escolas_anos_iniciais,1,0.040539983208823085,0.0002946332426212854,0.01700988661252199,0.049254385557263525,-0.09259204167134628,0.061719046702598174,0.57165,0.42835
8,proporcao_matriculas_integral_anos_iniciais,1,0.02996836486290524,-0.004961445537154285,0.01294570470668265,0.049834865147893335,-0.12253477638969923,0.03267537718929449,0.7547,0.2453
9,alunos_por_turma_anos_iniciais,1,0.029906771750755724,0.004694325037142775,0.011858674468208557,0.03679447054044423,-0.053680519221934585,0.061059312763952545,0.56555,0.43445
10,participacao_industria_2020,1,0.02625975821841351,0.013146986713170963,-0.001501685486220558,0.037925353765217225,-0.02278767195946203,0.0870134457175599,0.4764,0.5236
11,proporcao_biblioteca_sala_leitura,1,0.02480875915588431,-0.00035825020109173995,-0.004629043894429694,0.03280900806008054,-0.054574371250604034,0.0555370802648741,0.38755,0.61245
12,pib_por_habitante_2020,1,0.0197045949330107,0.0012669665061467508,0.006062192310217736,0.03784192704697077,-0.04773574111404554,0.035021957961008536,0.6,0.4
13,razao_matriculas_docentes_anos_iniciais,1,0.01675986176718999,0.004319563649295161,0.00488244738119031,0.026281295007457732,-0.03167637349616105,0.03961502541454788,0.61285,0.38715
14,rede_nome,2,0.01594854293435182,-0.005563734036017661,0.004985625653525661,0.03386104796385566,-0.0905007341001498,0.013541570664900276,0.8038,0.1962
15,proporcao_laboratorio_informatica,1,0.009948870540494493,-0.0037284964332094128,-0.0033776633827283862,0.015385071512143756,-0.026166212293481747,0.016313561329647754,0.3945,0.6055
16,proporcao_escolas_rurais,1,0.005669327924740401,-0.0008399639327791916,-0.0020070088691950734,0.009201988912285427,-0.010516917558244862,0.011456105878022954,0.3501,0.6499
17,amazonia_legal,1,0.0019195788898829285,-0.0003149295314184527,-0.0007915773297406543,0.002869657108670424,-0.002879459234839593,0.006731819040807876,0.15285,0.84715
18,capital_uf,1,0.0008760207228456769,0.0003654188118420797,-0.00019482526747476942,0.0018358254655588167,-0.0013030243379129512,0.0029105336358590745,0.1858,0.8142
