rank,transformed_feature,raw_feature,mean_abs_shap_risk,mean_shap_risk,std_shap_risk,positive_share,negative_share
1,categorical__sigla_uf_CE,sigla_uf,0.15060964548978165,0.016546622437303996,0.3230810549640051,0.9524,0.0476
2,categorical__sigla_uf_BA,sigla_uf,0.07744010691589004,-0.021212032742969008,0.12829993600771533,0.0562,0.9438
3,numeric__proporcao_internet_aprendizagem,proporcao_internet_aprendizagem,0.07218944720535703,-0.02633326991614125,0.07559763475856895,0.45195,0.54805
4,categorical__regiao_Sul,regiao,0.07212234557455578,0.005891587149289459,0.09736123669823939,0.8496,0.1504
5,numeric__participacao_administracao_publica_2020,participacao_administracao_publica_2020,0.05290695992434789,-0.008575664625125967,0.062217413428541035,0.28655,0.71345
6,numeric__participacao_agropecuaria_2020,participacao_agropecuaria_2020,0.048134990879284495,0.01458410758972133,0.05616702493023337,0.59145,0.40855
7,log_numeric__populacao_2020,populacao_2020,0.04245983259508505,-0.005916632642989532,0.06498209168658661,0.60845,0.39155
8,log_numeric__quantidade_escolas_anos_iniciais,quantidade_escolas_anos_iniciais,0.040539983208823085,0.0002946332426212854,0.049254385557263525,0.57165,0.42835
9,categorical__sigla_uf_PR,sigla_uf,0.040496146857660065,0.00893097946732816,0.06884875913698593,0.9353,0.0647
10,categorical__sigla_uf_GO,sigla_uf,0.03302739547581017,0.006146492288636063,0.07247344268884613,0.9618,0.0382
11,numeric__proporcao_matriculas_integral_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,0.02996836486290524,-0.004961445537154285,0.049834865147893335,0.7547,0.2453
12,log_numeric__alunos_por_turma_anos_iniciais,alunos_por_turma_anos_iniciais,0.029906771750755724,0.004694325037142775,0.03679447054044423,0.56555,0.43445
13,categorical__regiao_Sudeste,regiao,0.028818702573850226,-0.007943586790777555,0.03301008925492195,0.5764,0.4236
14,numeric__participacao_industria_2020,participacao_industria_2020,0.02625975821841351,0.013146986713170963,0.037925353765217225,0.4764,0.5236
15,numeric__proporcao_biblioteca_sala_leitura,proporcao_biblioteca_sala_leitura,0.02480875915588431,-0.00035825020109173995,0.03280900806008054,0.38755,0.61245
16,categorical__sigla_uf_PE,sigla_uf,0.02148156470708085,0.006754158930485928,0.039417218271310006,0.959,0.041
17,log_numeric__pib_por_habitante_2020,pib_por_habitante_2020,0.0197045949330107,0.0012669665061467508,0.03784192704697077,0.6,0.4
18,categorical__sigla_uf_ES,sigla_uf,0.018875182698921925,0.004180299256806843,0.05136605905633092,0.9769,0.0231
19,categorical__sigla_uf_SE,sigla_uf,0.017264473219597714,-0.00425518871723371,0.0676350335252763,0.0096,0.9904
20,numeric__razao_matriculas_docentes_anos_iniciais,razao_matriculas_docentes_anos_iniciais,0.01675986176718999,0.004319563649295161,0.026281295007457732,0.61285,0.38715
21,categorical__rede_nome_Estadual,rede_nome,0.01594854293435182,-0.005563734036017661,0.03386104796385566,0.8038,0.1962
22,categorical__sigla_uf_RN,sigla_uf,0.014040309360834403,-0.0038522638925093814,0.04756015304993428,0.01235,0.98765
23,categorical__sigla_uf_MA,sigla_uf,0.011625363622457486,0.0033318856818551333,0.026237062944369602,0.966,0.034
24,categorical__regiao_Nordeste,regiao,0.011081234516430439,8.217732017320984e-05,0.01515866502633964,0.2576,0.7424
25,categorical__sigla_uf_MS,sigla_uf,0.010341080233951474,-0.0015179719857745535,0.032544864185557375,0.0201,0.9799
26,numeric__proporcao_laboratorio_informatica,proporcao_laboratorio_informatica,0.009948870540494493,-0.0037284964332094128,0.015385071512143756,0.3945,0.6055
27,categorical__sigla_uf_TO,sigla_uf,0.008113512556727405,-0.0018383602527941299,0.03568927418734531,0.0091,0.9909
28,categorical__sigla_uf_AL,sigla_uf,0.008066608399008437,-7.380191036863807e-05,0.0314508232369874,0.17775,0.82225
29,categorical__sigla_uf_RO,sigla_uf,0.007832197875774502,0.0016593137636434939,0.030635457829822455,0.9892,0.0108
30,numeric__proporcao_escolas_rurais,proporcao_escolas_rurais,0.005669327924740401,-0.0008399639327791916,0.009201988912285427,0.3501,0.6499
31,categorical__sigla_uf_SC,sigla_uf,0.005572301955220921,-0.001415845769231462,0.012792466767299764,0.0596,0.9404
32,categorical__regiao_Centro-Oeste,regiao,0.005237199435441411,0.00019627217880024863,0.010566702360213733,0.1146,0.8854
33,categorical__sigla_uf_MG,sigla_uf,0.004370415647846822,0.0017593285993612938,0.005893161206891194,0.83885,0.16115
34,categorical__sigla_uf_RJ,sigla_uf,0.0030270199239319758,-0.0017647324852981918,0.004447701689706499,0.1112,0.8888
