rank,candidate_id,is_current_configuration,mean_train_pr_auc_risk,mean_validation_pr_auc_risk,std_validation_pr_auc_risk,mean_pr_auc_gap_train_validation,mean_train_roc_auc_literate,mean_validation_roc_auc_literate,std_validation_roc_auc_literate,mean_roc_auc_gap_train_validation,mean_validation_accuracy,mean_validation_balanced_accuracy,mean_validation_precision_risk,mean_validation_recall_risk,mean_validation_f1_risk,mean_validation_recall_literate,mean_runtime_seconds,total_runtime_seconds,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,max_bins
1,6,False,0.5768667722798098,0.5446348242718694,0.009805530518149981,0.0322319480079404,0.6714582822293276,0.644028787585144,0.009556992513652338,0.027429494644183473,0.6244419689704553,0.5832266354537877,0.5850401400604248,0.33769531170916467,0.42764686022236675,0.8287579591984109,22.612563280000177,113.06281640000088,0.06197763962309192,230,15,,70,0.716404042819101,255
2,5,False,0.5822163709069897,0.5434594617804752,0.009626891986733723,0.03875690912651453,0.6761633640720792,0.6421347377701622,0.009951636115942752,0.034028626301917164,0.6219266791943572,0.5796269186638355,0.5824633852441249,0.32723119930235256,0.417357307125073,0.8320226380253184,33.61236939999799,168.06184699998994,0.03277702274869302,289,31,10.0,194,0.15833718339012065,255
3,9,False,0.5811875595169784,0.5430367825985256,0.009824351505859514,0.03815077691845283,0.6752931540107225,0.6423253179758573,0.010005934307613875,0.032967836034865194,0.6220065300329898,0.5789942431435592,0.58381392599371,0.32224824831759924,0.4139370237314206,0.8357402379695191,35.594373799997264,177.97186899998633,0.032022428000607145,263,31,,123,0.3058656666978526,255
4,10,False,0.5762870958322992,0.5426848427636858,0.010512860168250725,0.0336022530686134,0.6698663314543173,0.6415315722783413,0.011013518583792247,0.028334759175975964,0.6227970486313004,0.5791394704043077,0.5868749458872419,0.31850505309987653,0.4115265369861726,0.8397738877087392,12.699645919998876,63.498229599994374,0.0672064407782783,103,31,6.0,165,1.8453732926615927,255
5,0,True,0.5849708525486392,0.5425782468431397,0.009262477983396718,0.04239260570549956,0.6788401002161034,0.6416812115933795,0.008999698163524457,0.03715888862272383,0.622520897466776,0.581271417874584,0.5807059970665868,0.3349664980812788,0.42453181098241305,0.8275763376678892,16.579891159998077,82.89945579999039,0.08,150,31,,50,1.0,255
6,14,False,0.5915041799141052,0.5425324071420417,0.008875014550299437,0.04897177277206348,0.6845211994707776,0.6411968368802803,0.009754723124948149,0.04332436259049741,0.6218428332624636,0.5808228344870174,0.5798219524917423,0.3356766497918491,0.4234724297562445,0.8259690191821859,36.65331024000043,183.26655120000214,0.04373658216581733,238,63,10.0,100,2.0736445177905036,255
7,2,False,0.5880487605570877,0.542436388838349,0.009965501334440298,0.045612371718738665,0.6816299001114305,0.6407798606388854,0.009616634593007958,0.040850039472545195,0.6228043655249851,0.5787876979604395,0.5870212071251532,0.3162236498075655,0.41060976671268534,0.8413517461133134,25.021017720000238,125.10508860000118,0.033494758473134406,199,63,,169,0.029375384576328288,255
8,3,False,0.5847962401053335,0.5421553791974466,0.009583855726376845,0.04264086090788699,0.678322850155533,0.6418479540579554,0.00990703715855729,0.03647489609757761,0.6214009962999736,0.5798999129169702,0.5790520587070972,0.33187584337384085,0.4209662586281378,0.8279239824600995,20.07276903999882,100.3638451999941,0.11802726789107952,229,15,6.0,180,0.014765043713594356,255
9,12,False,0.5871489904793161,0.5421351107763547,0.009775636230507864,0.045013879702961425,0.6806781417601474,0.6421142703505296,0.009687744127318836,0.03856387140961774,0.6221655623803469,0.58117399698202,0.580665663179786,0.337023213716104,0.42504890028511993,0.8253247802479358,15.108919800000148,75.54459900000074,0.12383540411903858,123,31,,143,3.4166582909960423,127
10,7,False,0.584158398707838,0.5419347047565742,0.010374403142462752,0.0422236939512638,0.6779675868760119,0.6407780851999887,0.010537333379361363,0.037189501676023154,0.6229274721977476,0.5810767106662429,0.5824539347093192,0.3312411219751818,0.42192402682672253,0.8309122993573037,18.88959945999959,94.44799729999795,0.0705166262783807,159,31,,28,1.0988100318524603,255
