rank,candidate_id,is_current_configuration,mean_train_sample_pr_auc_risk,mean_validation_pr_auc_risk,std_validation_pr_auc_risk,mean_estimated_pr_auc_gap,mean_train_sample_roc_auc_literate,mean_validation_roc_auc_literate,std_validation_roc_auc_literate,mean_estimated_roc_auc_gap,mean_validation_accuracy,mean_validation_balanced_accuracy,mean_validation_precision_risk,mean_validation_recall_risk,mean_validation_f1_risk,mean_validation_recall_literate,mean_runtime_seconds,total_runtime_seconds,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,criterion
1,8,False,0.5822267571021404,0.5436145376332314,0.011974368630775594,0.038612219468909005,0.6759059217188648,0.6428958223790813,0.01002575065072964,0.033010099339783563,0.6235522995894687,0.5767354658459335,0.596203225380222,0.2969482144868103,0.395154968486096,0.8565227172050569,338.56471699999963,1692.8235849999983,250,12.0,50,200,0.5,,gini
2,3,False,0.5830969715121932,0.5429126294945784,0.012095378008059522,0.04018434201761476,0.6769633891246525,0.6424446925903835,0.009982435505639257,0.03451869653426889,0.5864477763015135,0.5936783097233278,0.5032208135965799,0.6381855747277745,0.5619807779975327,0.5491710447188811,498.6304228000008,2493.152114000004,250,12.0,200,50,0.5,balanced_subsample,entropy
3,7,False,0.5958701671719393,0.5429108724642605,0.011519456661770582,0.052959294707678836,0.6894650290884659,0.6418049835430498,0.00927586093968466,0.04766004554541612,0.5895339959655763,0.5933902231264316,0.5063205580324496,0.6177611292982681,0.5558885239424027,0.5690193169545953,1017.8054656000007,5089.027328000004,250,,100,150,0.5,balanced_subsample,entropy
4,9,False,0.5884748076407125,0.5423879135465437,0.011053772166411355,0.04608689409416864,0.6834642161803395,0.6424687984529678,0.0091857206063542,0.04099541772737172,0.5904868808838384,0.5949850771107382,0.5075946541512216,0.6236383992073017,0.5584779276359224,0.5663317550141749,332.68276987999997,1663.4138494,250,16.0,100,150,sqrt,balanced_subsample,entropy
5,2,False,0.5894290742619473,0.5418853010267503,0.01138648984485537,0.047543773235197026,0.6841380842114225,0.6429621441303477,0.009668841677552489,0.041175940081074905,0.5945692394162414,0.5968846440582333,0.5120805159077422,0.6126584596648298,0.5565476903827948,0.5811108284516365,332.4194535600007,1662.0972678000035,250,16.0,400,50,log2,balanced_subsample,entropy
6,5,False,0.5977553763887672,0.5415019239066741,0.010829831969564848,0.056253452482093146,0.6906008027061482,0.6411857912953071,0.009024444135197346,0.04941501141084126,0.5891952973273188,0.5931620373917933,0.5057834776958086,0.6180507604089012,0.5557289524590996,0.5682733143746853,640.5998112599991,3202.9990562999956,150,,400,20,0.5,balanced,entropy
7,1,False,0.5916540137790455,0.5409152982835177,0.010353278658621965,0.05073871549552782,0.6864521368340452,0.6419835653356496,0.009254157696126608,0.04446857149839547,0.6222494085801257,0.574580256804631,0.5949570359387069,0.28954603505120796,0.3885219299731949,0.859614478558054,270.7531978199986,1353.765989099993,150,,400,150,log2,,gini
8,10,False,0.5910061931352437,0.5408883320043631,0.01110004925510751,0.05011786113088053,0.6853923557781643,0.6422230956822059,0.009864430610914672,0.04316926009595827,0.5912541141595558,0.5958725018943027,0.5085461076153578,0.6253061399943114,0.5595643991295705,0.5664388637942942,378.19502193999654,1890.9751096999826,250,16.0,200,50,log2,balanced_subsample,gini
9,0,True,0.5822818279298885,0.540829985032008,0.010848983579006322,0.04145184289788049,0.6771490769762238,0.6411905431921644,0.010388103101020141,0.03595853378405944,0.619235717935023,0.569001339439979,0.5939152972669746,0.26900696129178925,0.36936471921208514,0.8689957175881686,167.82792252000073,839.1396126000036,150,12.0,100,50,sqrt,,gini
10,4,False,0.5773273969178148,0.5403369505345171,0.010398913373460845,0.03699044638329776,0.673823350291143,0.6415385345793824,0.009376059824825932,0.032284815711760693,0.5897928473871861,0.5946625112754808,0.5071095406547594,0.6254689566952543,0.5586440025354018,0.5638560658557071,227.00208493999963,1135.010424699998,300,12.0,100,200,log2,balanced_subsample,entropy
11,6,False,0.5657654998493157,0.5403030448616608,0.012221096428045045,0.02546245498765489,0.6598516702041345,0.6394522136213135,0.011443088503565188,0.02039945658282094,0.5804183994217889,0.5914098494626724,0.4977196663843969,0.6581792354142962,0.5661368630580486,0.5246404635110486,98.27704108000034,491.3852054000017,150,8.0,100,150,0.5,balanced,entropy
