threshold,accuracy,balanced_accuracy,precision_risk,recall_risk,recall_alfabetizado,f1_risk,taxa_predita_risco,tp_risk,fp_risk,fn_risk,tn_risk,modelo
0.1,0.41585258006839193,0.4994296687692099,0.4158644553982976,0.9977549721610152,0.001104365377404616,0.5870474330351892,0.9984209570211517,623978,876458,1404,969,decision_tree
0.11,0.41585258006839193,0.4994296687692099,0.4158644553982976,0.9977549721610152,0.001104365377404616,0.5870474330351892,0.9984209570211517,623978,876458,1404,969,decision_tree
0.12,0.4161007819356951,0.4996406144207029,0.415967078408772,0.9977437790022738,0.0015374498391319165,0.5871477361532791,0.9981634392660678,623971,876078,1411,1349,decision_tree
0.13,0.41608547726291234,0.4996137281154931,0.4159539771939369,0.9976478376416335,0.0015796185893527325,0.5871180717948331,0.9980988934721579,623911,876041,1471,1386,decision_tree
0.14,0.41608547726291234,0.4996137281154931,0.4159539771939369,0.9976478376416335,0.0015796185893527325,0.5871180717948331,0.9980988934721579,623911,876041,1471,1386,decision_tree
0.15,0.41608547726291234,0.4996137281154931,0.4159539771939369,0.9976478376416335,0.0015796185893527325,0.5871180717948331,0.9980988934721579,623911,876041,1471,1386,decision_tree
0.16,0.41608547726291234,0.4996137281154931,0.4159539771939369,0.9976478376416335,0.0015796185893527325,0.5871180717948331,0.9980988934721579,623911,876041,1471,1386,decision_tree
0.17,0.41533554829655667,0.498497713929313,0.41540916782290427,0.9943490538582819,0.002646374000344188,0.5860036233676588,0.9961032972253959,621848,875105,3534,2322,decision_tree
0.18,0.4155697763321886,0.4986911808526057,0.41550337144571575,0.9942994841552842,0.0030828775499272304,0.5860887375166182,0.9958278131153061,621817,874722,3565,2705,decision_tree
0.19,0.41562434081776195,0.4985778330228234,0.4154473757962039,0.9931849653491786,0.003970700696468196,0.585839293167236,0.9948456523749858,621120,873943,4262,3484,decision_tree
0.2,0.41583261745171873,0.49864411971829403,0.4154791822591637,0.9924046422826368,0.004883597153951269,0.5857350756621975,0.9939879252785949,620632,873142,4750,4285,decision_tree
0.21,0.41563898006998895,0.4982598840993507,0.4152904206846035,0.9908839717164869,0.005635796482214475,0.5852824851419923,0.9929159327632454,619681,872482,5701,4945,decision_tree
0.22,0.4158000118444859,0.49831258220196584,0.4153156663284555,0.9902907343031939,0.006334430100737725,0.5852040172714134,0.9922611589363651,619310,871869,6072,5558,decision_tree
0.23,0.41587054642339777,0.4983686224835257,0.41534303353040003,0.9902603528723244,0.006476892094726969,0.5852258793990032,0.9921653383763339,619291,871744,6091,5683,decision_tree
0.24,0.4167795109025831,0.49898282551434325,0.4156429175690195,0.9891170516580267,0.008848599370659896,0.5853234804158363,0.9903048225023938,618576,869663,6806,7764,decision_tree
0.25,0.4170583221154518,0.4989292303555358,0.4156155699217787,0.9870814957897733,0.010776964921298296,0.584939469056066,0.9883318505545282,617303,867971,8079,9456,decision_tree
0.26,0.4177689912690169,0.4993736186895182,0.415833544648686,0.9859381945754755,0.012809042803560867,0.584954258646648,0.9866696300062083,616588,866188,8794,11239,decision_tree
0.27,0.41836121556365446,0.4995388146410405,0.4159143097474623,0.9835572498089168,0.01552037947316415,0.584614287954607,0.9840957832964802,615099,863809,10283,13618,decision_tree
0.28,0.423119637957984,0.5024934996337956,0.4173875394066078,0.9757572171888542,0.029229782078737034,0.5846756440959804,0.9728455179600335,610221,851780,15161,25647,decision_tree
0.29,0.4249435557013566,0.5035279161917423,0.41791311545055704,0.9720842620990051,0.03497157028447951,0.5845288185657254,0.9679646581834418,607924,846742,17458,30685,decision_tree
0.3,0.4300280341680147,0.5067928312466826,0.41959279017821427,0.9645000975403833,0.049085564952981844,0.5847834211780286,0.9565680003247252,603181,834358,22201,43069,decision_tree
0.31,0.4320083257419938,0.5080849506314814,0.4202678178983639,0.9616890156736203,0.05448088558934248,0.584919780843394,0.9522480900766498,601423,829624,23959,47803,decision_tree
0.32,0.44156376492288774,0.5143879432790562,0.4236453940720481,0.9485994160369182,0.08017647052119435,0.5857114859724826,0.9317983855566476,593237,807078,32145,70349,decision_tree
0.33,0.44674206768790975,0.5176955421071217,0.42548775275381334,0.9407530117592128,0.09463807245503045,0.5859565828611211,0.9200896454572737,588330,794389,37052,83038,decision_tree
0.34,0.4492853050520725,0.5191941568443246,0.4263511294038301,0.9360231026796422,0.10236521100900701,0.5858515194686852,0.9136097800851605,585372,787609,40010,89818,decision_tree
0.35,0.4523981424119765,0.5211226862815431,0.42746843891876174,0.9308902398853821,0.11135513267770424,0.585892671586326,0.9062249427571967,582162,779721,43220,97706,decision_tree
0.36,0.45601936107649077,0.522794603860539,0.42852763589150256,0.9209395217642976,0.12464968595678046,0.5848946138804302,0.8943218998555372,575939,768056,49443,109371,decision_tree
0.37,0.4570141648073707,0.5228884078242797,0.4286539840616574,0.9156611479063996,0.13011566774215974,0.5839431391744166,0.8889339896154468,572638,763260,52744,114167,decision_tree
0.38,0.46148246383938346,0.5251277334831224,0.43009257534623574,0.9046103021833055,0.1456451647829392,0.5830004281865244,0.8752682476615458,565727,749634,59655,127793,decision_tree
0.39,0.4663719740832002,0.5274611337466363,0.4316652849476224,0.8917029911318203,0.16321927636145228,0.5817235197686688,0.8596361879653369,557655,734214,67727,143213,decision_tree
0.4,0.46935372359361704,0.5287220771215517,0.4325782912739434,0.8827036915037529,0.1747404627393504,0.5806183914501812,0.8491644646791442,552027,724105,73355,153322,decision_tree
0.41,0.4742013123424201,0.5308415878564778,0.4341435459931759,0.8685571378773294,0.1931260378356262,0.5789180590822979,0.8325429246165015,543180,707973,82202,169454,decision_tree
0.42,0.4816140973337264,0.5320390340730778,0.43571859476437863,0.832695856292634,0.23138221185352173,0.572085989823904,0.795283366016573,520753,674406,104629,203021,decision_tree
0.43,0.48782180569852857,0.5344822868366057,0.4378348948839261,0.8126936816217928,0.2562708920514185,0.5690804022407421,0.7724281661874529,508244,652568,117138,224859,decision_tree
0.44,0.49361429163652865,0.5370554628119112,0.4400614505041469,0.7960718408908475,0.27803908473297495,0.5668005731203808,0.7528015868949414,497849,633468,127533,243959,decision_tree
0.45,0.49795482992183304,0.5378051008494661,0.4412640406496371,0.7754108688769424,0.30019933282198974,0.5624525178996643,0.7312652506073626,484928,614024,140454,263403,decision_tree
0.46,0.5034205943669489,0.5396561498319918,0.44330623133376357,0.7557093104694411,0.32360298919454267,0.5588095145192548,0.7094021928268995,472607,593489,152775,283938,decision_tree
0.47,0.5076014317188678,0.5399980215873159,0.4444562921488817,0.7331614916962752,0.3468345514783566,0.5534193566297504,0.6864551649610828,458506,573105,166876,304322,decision_tree
0.48,0.5146768484883973,0.5403087411469643,0.44645994821395835,0.6931379540824648,0.38747952821146375,0.5431009208795339,0.646068795169579,433476,537442,191906,339985,decision_tree
0.49,0.5216318241373321,0.5420766511092354,0.4493968575553521,0.6639781765384997,0.4201751256799711,0.5360093353711429,0.6148446010105076,415240,508754,210142,368673,decision_tree
0.5,0.5273877119447647,0.5382338439624467,0.4494227335467737,0.6029035053775132,0.47356418254738003,0.5149706078386381,0.5582572369476094,377045,461909,248337,415518,decision_tree
0.51,0.5432267174338189,0.5383982264366705,0.45628889802007555,0.5096085272681338,0.567187925605207,0.48147703315272283,0.46477030680545567,318700,379761,306682,497666,decision_tree
0.52,0.5460254762913983,0.5388598635293271,0.4580345820730053,0.49613516218887016,0.581584564869784,0.47632418242457497,0.45075788074199713,310274,367129,315108,510298,decision_tree
0.53,0.5500785528966089,0.5395066371796013,0.4607526000513361,0.476471980325625,0.6025412940335777,0.46848046537221916,0.43033945098811627,297977,348741,327405,528686,decision_tree
0.54,0.5559675248151961,0.5369821543020701,0.4633597101925639,0.4237825840846075,0.6501817245195327,0.4426883412341275,0.3805979336030061,265026,306940,360356,570487,decision_tree
0.55,0.5571366687316884,0.5328246787425709,0.46177598827303273,0.38786533670620515,0.6777840207789366,0.4216059033586607,0.3495354366389874,242564,282721,382818,594706,decision_tree
0.56,0.5604185229127587,0.5311916422182228,0.46343352219525513,0.3569274459450384,0.7054558384914072,0.40326673224701215,0.3205044686317423,223216,258441,402166,618986,decision_tree
0.57,0.5647929976464074,0.5297439858644133,0.46667349070496195,0.32076554809700314,0.7387224236318235,0.38020156647571396,0.28603302216050075,200601,229252,424781,648175,decision_tree
0.58,0.5683230536947809,0.5281547000635033,0.46963177255958916,0.28865237566799173,0.7676570244590148,0.35754493129087594,0.25577568406896684,180518,203864,444864,673563,decision_tree
0.59,0.571306799466865,0.5261742766374786,0.47229435957696825,0.25707327681321174,0.7952752764617456,0.3329302057814289,0.22650915718497827,160769,179631,464613,697796,decision_tree
0.6,0.5726010424478427,0.524508297529144,0.47308738605450296,0.23775708287094927,0.8112595121873387,0.31646831836897144,0.20913835357653568,148689,165606,476693,711821,decision_tree
0.61,0.5736723695426365,0.5230195697192923,0.4737652152153868,0.22100412228046218,0.8250350171581226,0.3014066968846805,0.1941238041560837,138212,153519,487170,723908,decision_tree
0.62,0.5719070088081719,0.5173088277785998,0.4651692279049562,0.1917691906706621,0.8428484648865375,0.2715783514492754,0.171557396848169,119929,137889,505453,739538,decision_tree
0.63,0.5718763994626064,0.5152285056556023,0.46248374837483747,0.17746753184453662,0.8529894794666679,0.2565065556682899,0.15968496329207504,110985,128991,514397,748436,decision_tree
0.64,0.5755262312110189,0.5130606109565582,0.46676893515151835,0.14061165815453594,0.8855095637585805,0.21611870603053668,0.12536057476365925,87936,100457,537446,776970,decision_tree
0.65,0.5767872031642078,0.5125975944002918,0.4693000196461384,0.12986942380816846,0.8953257649924153,0.2034406921462244,0.11515901222311019,81218,91844,544164,785583,decision_tree
0.66,0.5768271283975542,0.5121595974051117,0.4687192847415477,0.1265818331835582,0.8977373616266653,0.1993322186857902,0.11238287766442709,79162,89728,546220,787699,decision_tree
0.67,0.5779723171740387,0.5127868538565186,0.47304849138587735,0.12412093728313255,0.9014527704299047,0.19664510375908992,0.10918952441727459,77623,86468,547759,790959,decision_tree
0.68,0.5875523769154962,0.5162477177362631,0.5256116913311437,0.09109632192803759,0.9413991135444886,0.15528026493315344,0.07212360319907586,56970,51418,568412,826009,decision_tree
0.69,0.5859580292638652,0.5104960214214178,0.5217397294244069,0.06055658781352837,0.9604354550293073,0.10851786901405223,0.04830021646130679,37871,34715,587511,842712,decision_tree
0.7,0.5849918386168834,0.5087143508882565,0.5129625121713729,0.053912648589182294,0.9635160531873307,0.09757057487230687,0.0437367622898186,33716,32012,591666,845415,decision_tree
0.71,0.5834613713386065,0.5047141129028255,0.49331928440120165,0.03518649401485812,0.9742417317907929,0.06568774366108052,0.02968174931079066,22005,22601,603377,854826,decision_tree
0.72,0.5846671133856665,0.5037669792486749,0.5237927526023323,0.02140291853619068,0.9861310399611591,0.04112539481608022,0.01700415688221191,13385,12169,611997,865258,decision_tree
0.73,0.5846438236662144,0.5031294697871816,0.5292167631487804,0.017103146556824468,0.9891557930175388,0.03313542742873606,0.013448814852719142,10696,9515,614686,867912,decision_tree
0.74,0.5841720404921716,0.502215365243643,0.5143221264716592,0.013551717190453194,0.9908790132968327,0.026407627831614367,0.010964799918020187,8475,8003,616907,869424,decision_tree
0.75,0.5842638685288682,0.5022708082646911,0.5188994918825133,0.013390215900041894,0.9911514006293402,0.026106746477116846,0.010738556929057518,8374,7764,617008,869663,decision_tree
0.76,0.5845539918911851,0.5015790201752619,0.5696034069736492,0.006843817059013531,0.9963142232915103,0.013525128931135607,0.00499997005607499,4280,3234,621102,874193,decision_tree
0.77,0.583963098437659,0.5006217066648814,0.5176654740608229,0.0037017374980411973,0.9975416758317216,0.007350909893403869,0.002975760725414873,2315,2157,623067,875270,decision_tree
0.78,0.5838905675970799,0.5005007994146476,0.5060211354141066,0.0032923876926422573,0.997709211136653,0.006542209004354589,0.002707596241438533,2059,2010,623323,875417,decision_tree
0.79,0.5838439881581758,0.5003736379784998,0.4968925717667949,0.0026847590752532052,0.9980625168817463,0.005340662032155302,0.002248456057955469,1679,1700,623703,875727,decision_tree
0.8,0.5838439881581758,0.5003736379784998,0.4968925717667949,0.0026847590752532052,0.9980625168817463,0.005340662032155302,0.002248456057955469,1679,1700,623703,875727,decision_tree
0.81,0.5837741189998197,0.500244445605485,0.478125,0.002201854226696643,0.9982870369842733,0.0043835215244595405,0.001916411200624963,1377,1503,624005,875924,decision_tree
0.82,0.5837741189998197,0.500244445605485,0.478125,0.002201854226696643,0.9982870369842733,0.0043835215244595405,0.001916411200624963,1377,1503,624005,875924,decision_tree
0.83,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
